name,sku,price,quantity,category
"  Teclado Mecânico RGB ",TM-001,350.00,15,Periféricos
"Mouse Gamer Wireless ",mou-002,120.50,30,Periféricos
 Monitor 4K UltraWide,MON-003,2800.00,5,Monitores
" Cabo HDMI 2.0",cb-hdmi-04,45.00,100,Acessórios
 Headset Wireless 7.1,  hds-005 ,450.90,12,Áudio
" Webcam Full HD 1080p",WEB-006,299.90,20,Vídeo
 Cadeira Ergonômica Office,  CAD-007,1200.00,8,Móveis
"Suporte Articulado Monitor ",sup-008,180.00,15,Acessórios
 Microfone Condensador USB,MIC-009,550.00,10,Áudio
" Tapete Mouse Pad Extra Large",  tmp-010  ,89.90,50,Periféricos
